product_id,product_name,product_brand,category,price,weight,color,size,material,rating,reviews,release_date,expiry_date,pet_category,description,created_at
471,Cat Toy,Edgeify,Toy,34.69,39.50,Teal,Large,Plexiglass,1.6,1000,2012-03-07,2024-07-06,Dogs,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",2026-05-07T10:50:33.761Z
891,Dog Food,Gigaclub,Food,44.90,49.10,Purple,Small,Steel,1.7,1000,2017-12-09,2028-06-29,Cats,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",2026-05-07T10:50:33.761Z
640,Cat Toy,Shuffledrive,Food,48.88,41.40,Turquoise,Medium,Wood,4.5,998,2013-08-15,2025-10-20,Cats,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2026-05-07T10:50:33.761Z
159,Bird Cage,Kwideo,Food,97.40,40.50,Crimson,Medium,Aluminum,3.1,997,2019-08-06,2026-04-30,Fish,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2026-05-07T10:50:33.761Z
249,Bird Cage,Riffpath,Toy,64.75,35.60,Fuscia,Large,Plexiglass,2.2,997,2012-12-25,2028-03-08,Birds,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",2026-05-07T10:50:33.761Z
758,Cat Toy,Zoomdog,Toy,45.59,32.50,Aquamarine,Small,Granite,2.0,997,2010-11-01,2029-01-14,Cats,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",2026-05-07T10:50:33.761Z
100,Bird Cage,Feedfire,Cage,70.01,13.90,Blue,Medium,Stone,3.2,995,2013-06-23,2029-11-28,Cats,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",2026-05-07T10:50:33.761Z
899,Dog Food,Jabbercube,Food,95.88,33.00,Orange,Small,Vinyl,3.8,995,2016-06-02,2025-11-03,Dogs,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2026-05-07T10:50:33.761Z
1084,Dog Food,Twinder,Toy,49.09,30.40,Yellow,Large,Rubber,1.3,995,2014-06-04,2028-02-11,Dogs,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",2026-05-07T10:50:33.761Z
311,Bird Cage,Trilith,Toy,14.04,43.40,Aquamarine,Small,Plexiglass,4.4,994,2012-01-28,2024-12-13,Fish,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",2026-05-07T10:50:33.761Z
