store_name,avg_check
Jetwire,244.840750
Jaxworks,233.861500
Brainlounge,255.560250
Reallinks,230.579500
Snaptags,222.617000
Skipfire,285.659000
Kamba,244.293667
Feedfish,255.091400
Quimba,251.034750
Realfire,250.813000
Quaxo,224.469500
Oyondu,238.659000
Browsezoom,248.155250
BlogXS,312.767000
Thoughtworks,255.600333
Voonder,296.237500
Einti,236.011000
Yabox,302.916250
Babbleset,199.384000
Photofeed,241.387400
Yodoo,232.614000
Talane,237.663500
Divavu,232.221750
Abata,308.741000
Blogtags,312.701000
Oyoyo,285.630600
Rooxo,273.935500
Yata,227.957000
Bluejam,268.278000
Browsetype,239.887500
Zazio,221.620000
JumpXS,271.954667
Tagchat,262.495000
Brainverse,256.346667
Mita,320.106000
Photobean,243.624500
Jaxbean,241.328000
Izio,215.011400
Meejo,260.722000
Flashspan,260.144000
Trudeo,251.654333
Twitterbridge,201.702000
Chatterbridge,260.669250
Skajo,220.017000
DabZ,278.884000
Tagtune,237.965600
Trilith,244.798333
Babblestorm,276.885200
Ntag,306.293000
Browseblab,226.389000
Dabjam,246.766333
Skilith,243.491333
Aivee,263.986000
Youtags,183.029000
Shufflester,254.836333
Gabspot,232.562000
Livetube,229.829900
Gevee,275.993500
Cogilith,212.561000
Zoomlounge,260.206600
Mydeo,295.532000
Tambee,161.906000
Geba,279.480500
Mymm,268.875333
Flipbug,249.669250
Avavee,214.827500
Flipstorm,322.795667
Kimia,228.011000
Topicware,235.880000
Voonyx,238.816250
Gigashots,253.192000
Vitz,266.283333
Vidoo,199.673333
Dabfeed,250.970333
Skinder,242.557667
Tanoodle,269.846286
Wikibox,259.619000
Quimm,262.283000
Lazzy,243.366000
Gabcube,263.948714
Agivu,255.271667
Yakijo,225.982000
Realbridge,248.961000
Gigazoom,282.835250
Feedbug,245.717750
Bubblemix,236.522500
Dynazzy,256.312500
Jaxspan,288.227000
Topdrive,226.235500
Tazzy,250.783333
Eire,289.497000
Topicshots,234.220000
Dablist,242.794750
Feednation,272.163000
Gabtune,259.091500
Rhycero,281.066125
Mybuzz,251.721400
Layo,203.155000
Thoughtblab,274.136500
Miboo,294.136000
Photobug,277.499800
Fivechat,301.538000
Ozu,239.549667
Yambee,193.603000
Bubbletube,263.558000
Flashpoint,233.118500
Topicblab,223.172750
Meezzy,277.097667
Zoombox,245.116333
Twimm,255.209167
Devpoint,272.476000
Wordpedia,243.833286
Skibox,230.084667
Voomm,232.920800
Flipopia,292.042000
Kayveo,247.247333
Mydo,279.730000
Abatz,222.043000
Cogidoo,272.271400
Gigabox,281.669000
Feedspan,243.293500
Zoonoodle,227.893333
Blogspan,279.268000
Jabbertype,247.798000
Buzzdog,226.187000
Livepath,248.513333
Photospace,241.805500
Myworks,272.397333
Trunyx,237.667000
Ntags,260.026000
Browsecat,234.581400
Browsebug,223.599400
Skimia,281.441000
Aibox,253.320000
Vimbo,241.576571
Kwimbee,286.451000
Blogtag,228.380500
Roomm,326.183333
Oyonder,288.506000
Yadel,237.962000
Jabbersphere,224.832250
Twitterworks,248.202500
Nlounge,240.434000
Dabshots,233.854000
Photojam,262.444500
Oodoo,322.044000
Tekfly,233.213000
Blogpad,214.336000
Fliptune,236.695333
Yozio,294.044667
Wordify,285.782667
Roodel,242.882000
Skipstorm,256.106333
Twinte,260.484000
Jabberbean,227.624500
Rhynoodle,306.965000
Fadeo,261.226000
Flashset,209.083000
Trilia,260.825000
Camimbo,242.279000
Chatterpoint,275.607333
Wikido,235.119000
Quatz,237.921500
Meeveo,244.457333
Oloo,262.340000
Rhyloo,256.222500
Eimbee,229.750500
Dabtype,270.612800
Skiba,240.060000
Riffwire,219.970333
Twiyo,281.969500
Lajo,229.062750
Lazz,250.804333
Eayo,272.255500
Yodel,214.610000
Digitube,234.650750
Jaloo,254.188000
Skiptube,222.011500
Fiveclub,244.082800
Omba,237.574667
Quamba,267.819000
Jabbercube,231.788000
Latz,235.816000
Eidel,287.811000
Twimbo,250.320333
Linktype,302.144500
Mynte,242.536000
Leexo,271.942500
Meetz,268.541750
Skivee,313.330667
Plambee,246.340250
Eazzy,249.208500
Wikivu,195.397000
Trudoo,231.880000
Ainyx,250.981000
Devshare,252.639000
Yodo,262.603750
Kanoodle,221.576000
Quinu,250.896000
Tagpad,250.357500
Rhybox,224.823500
Kare,211.256000
Kazio,276.009000
Jamia,208.120333
Jetpulse,201.382000
Demizz,214.438000
Buzzshare,237.451667
Skinte,253.112000
Buzzster,290.525000
Gigaclub,242.212667
Voolia,193.803500
Jazzy,275.867333
Fivebridge,232.083000
Yombu,243.162000
Tagopia,283.452750
Realpoint,266.654000
Shufflebeat,265.008000
Linkbridge,256.372000
Zoomzone,255.403667
Avamba,256.964000
Avamm,198.216000
Ooba,243.588500
Mudo,253.668250
Npath,219.757000
Devbug,285.204000
Edgeblab,313.063000
Zooveo,263.562333
Thoughtstorm,283.098333
Jaxnation,197.255000
Twitterlist,275.036500
Twinder,254.252000
Demivee,246.285667
Pixope,211.997500
Realblab,242.973667
Twitternation,244.542000
Edgetag,251.988000
Tagcat,245.872500
Oyoba,243.117000
Edgewire,220.466000
Roombo,259.072429
Quire,243.700750
Topiclounge,249.273400
Plajo,272.716667
Leenti,306.505000
Babbleopia,223.238000
Jatri,308.763000
Viva,250.393333
Edgeify,247.688000
Kaymbo,217.629667
Bluezoom,265.615500
Centimia,247.259000
Meevee,254.217375
Rhynyx,249.198000
Fatz,237.262000
Eadel,160.762000
Flashdog,263.096333
Edgeclub,243.707667
Cogibox,252.243667
Realbuzz,217.402333
Riffpath,263.200000
Zoomcast,246.842000
Skyvu,341.849000
Wordtune,304.007000
Fivespan,201.557000
Eabox,185.608500
Linklinks,322.438667
Wikizz,294.708333
Yacero,247.787333
Skyba,256.469000
Twitterbeat,222.750000
LiveZ,218.665500
Thoughtmix,304.324000
Thoughtbeat,254.373000
Innojam,263.279333
Feedfire,307.634250
Mycat,279.249000
Zoombeat,292.197000
Midel,282.118333
Tavu,280.219000
Dazzlesphere,201.881000
Skaboo,264.308000
Yakidoo,228.723000
Twitterwire,240.819600
Zava,217.177000
Dabvine,223.967000
Riffpedia,267.789167
Skinix,305.099000
Blognation,239.019750
Oyope,219.848667
Agimba,255.663000
Podcat,259.844250
Janyx,284.006333
Wordware,228.787500
Vinder,275.057000
Skynoodle,292.910400
Brainbox,242.789000
Kwinu,264.172333
Kazu,214.516500
Shuffledrive,268.011000
Meedoo,226.604000
Avaveo,240.899000
Shuffletag,280.707667
Topicstorm,251.897000
Oozz,329.784000
Pixonyx,282.789000
Innotype,260.388000
Zooxo,237.977500
Realmix,265.585000
Bubblebox,184.782000
Kwilith,281.911250
Thoughtsphere,223.778750
Devcast,270.142000
Oyoloo,297.360500
Meembee,258.718500
Divanoodle,284.665000
Meemm,262.600250
Youspan,252.265800
Fanoodle,283.754667
Yotz,246.047000
Realcube,228.961750
Eamia,298.791000
Devify,279.322500
Brainsphere,248.367500
Youfeed,231.676000
Oba,253.475000
Voonix,234.828500
Voonte,257.154000
Devpulse,230.915250
Buzzbean,251.477000
Skippad,261.534500
Eare,307.182667
Pixoboo,203.778000
Aimbo,219.228000
Skalith,233.947800
Jabberstorm,261.202500
Katz,266.978800
Teklist,253.632750
Aimbu,272.067250
Camido,222.965500
Yakitri,229.156500
Yoveo,288.973000
Skyndu,257.017667
Youbridge,234.153000
Zoomdog,281.119000
Gabvine,288.929500
Muxo,201.445000
Minyx,308.668000
Dynabox,256.749000
Photolist,233.597000
Babbleblab,235.247667
Centizu,261.462000
Zoozzy,297.574000
Voolith,329.982000
Skyble,269.625000
Thoughtbridge,226.731000
Edgepulse,239.080667
Rhyzio,328.540000
Yamia,243.687500
