product_name,product_brand,rating,reviews
Bird Cage,Abata,1.9,618
Bird Cage,Abatz,1.8,503
Bird Cage,Agimba,2.3,817
Bird Cage,Agivu,2.0,309
Bird Cage,Aibox,3.3,820
Bird Cage,Ailane,3.8,889
Bird Cage,Aimbo,3.8,477
Bird Cage,Aimbu,4.1,751
Bird Cage,Ainyx,1.6,971
Bird Cage,Aivee,4.9,721
Bird Cage,Avamba,3.5,617
Bird Cage,Avamm,2.2,429
Bird Cage,Avavee,2.7,925
Bird Cage,Avaveo,3.9,141
Bird Cage,Babbleblab,1.0,32
Bird Cage,Babbleopia,1.7,610
Bird Cage,Babbleset,1.2,424
Bird Cage,Babblestorm,3.0,859
Bird Cage,Blognation,4.1,440
Bird Cage,Blogpad,3.4,193
Bird Cage,Blogspan,2.6,771
Bird Cage,Blogtag,4.4,155
Bird Cage,Blogtags,3.8,758
Bird Cage,BlogXS,4.8,36
Bird Cage,Bluejam,4.4,418
Bird Cage,Bluezoom,3.5,309
Bird Cage,Brainbox,1.6,11
Bird Cage,Brainlounge,4.1,170
Bird Cage,Brainsphere,1.9,151
Bird Cage,Brainverse,2.9,230
Bird Cage,Brightbean,4.3,547
Bird Cage,Brightdog,4.7,270
Bird Cage,Browseblab,1.9,940
Bird Cage,Browsebug,2.0,244
Bird Cage,Browsecat,3.5,360
Bird Cage,Browsedrive,1.6,248
Bird Cage,Browsetype,2.6,511
Bird Cage,Browsezoom,2.8,470
Bird Cage,Bubblebox,3.7,205
Bird Cage,Bubblemix,2.9,229
Bird Cage,Bubbletube,3.1,200
Bird Cage,Buzzbean,3.3,921
Bird Cage,Eare,4.7,600
Cat Toy,Jaxworks,5.0,832
Bird Cage,Buzzdog,2.9,987
Bird Cage,Buzzshare,3.3,128
Bird Cage,Buzzster,3.4,335
Bird Cage,Camido,1.0,843
Bird Cage,Camimbo,3.5,28
Bird Cage,Centidel,4.1,750
Bird Cage,Centimia,3.4,936
Bird Cage,Centizu,2.2,927
Bird Cage,Chatterbridge,3.0,604
