country,city,revenue,transactions
Sweden,Wasior,3016.29,10
France,Wangping,2759.26,10
Cuba,Kedungwungu,2594.12,10
Indonesia,Sīdī Sālim,2009.06,10
Democratic Republic of the Congo,Sosándra,2149.17,10
Indonesia,Madimba,2726.71,10
Canada,Celorico de Basto,2374.46,10
Iran,Villeurbanne,2938.37,10
Pakistan,Yumbe,3065.72,10
Indonesia,Pinoma,2478.29,10
China,Benito Juarez,5146.87,20
China,Tambo,2369.66,10
Egypt,Itabirito,2373.57,10
China,Karsin,2420.64,10
China,Montecristi,2638.59,10
France,Jianghai,2246.19,10
Spain,Phichai,2390.91,10
Czech Republic,Kuala Lumpur,2009.99,10
Ukraine,Wangge’ertang,2084.15,10
Thailand,Margita,2623.40,10
Afghanistan,Sumberngerjat,2627.31,10
China,Fengle,2238.79,10
Russia,Mizusawa,2437.56,10
Brazil,Shangwuzhuang,3366.32,10
Czech Republic,Alurbulu,1884.27,10
Japan,Layog,2512.51,10
Vietnam,San Isidro,2371.86,10
Philippines,Józefosław,2674.49,10
South Korea,Bagadó,2754.61,10
France,Mali Iđoš,2649.82,10
Thailand,Goyty,3086.86,10
Philippines,Gaopai,2987.91,10
Tanzania,Maoping,2635.37,10
Peru,Chengzhai,2132.71,10
Russia,Progreso,3123.35,10
Philippines,Oras,2980.03,10
China,Ayapa,2171.90,10
Portugal,Chowṉêy,2264.67,10
Poland,Alpūrai,2314.75,10
United States,Huatajata,2187.24,10
United States,Barili,2023.66,10
Palestinian Territory,Huangshi,2541.35,10
Jordan,Mayapusi,2280.88,10
Italy,Tchoban Bey,3113.62,10
Yemen,Nong Ki,3327.06,10
Morocco,Baturaden,2015.57,10
Nepal,Gandajika,2264.20,10
Iran,Balauring,3207.38,10
Philippines,Grojec,2349.03,10
Sweden,Lajarik,1698.71,10
China,Reims,2266.59,10
Peru,Krajanbaturno,2949.43,10
Russia,San Francisco,2980.01,10
Honduras,Zhongnan,2126.83,10
Portugal,Siteki,2525.13,10
Russia,Sobienie Jeziory,2582.06,10
Afghanistan,Lamu,3006.08,10
Sweden,Szemud,2437.82,10
Russia,Yiyang,2793.81,10
Sweden,Xiadu,1912.68,10
Argentina,Ratenggoji,2526.39,10
Czech Republic,Le Havre,1618.15,10
China,Torreira,2320.80,10
Poland,Tadotsu,2759.37,10
Portugal,Oullins,2441.25,10
China,Munkfors,3074.02,10
North Korea,Valencia,2830.62,10
China,Cigalontang,1588.64,10
Cuba,Randudongkal,2604.47,10
Nigeria,Bungbulang,2338.52,10
Uzbekistan,Lepaterique,1747.74,10
Luxembourg,Bourges,2762.88,10
United States,Ghār al Milḩ,2311.28,10
Netherlands,Tambov,2760.09,10
Greece,Taimaman,2319.35,10
Georgia,Corredoura,2849.07,10
China,Nagasaki-shi,1772.81,10
Bangladesh,Los Palacios,2422.08,10
Russia,Lučko,2501.06,10
China,Janowice,2410.63,10
Yemen,Rengang,2799.43,10
France,Jianrao,2429.32,10
Zambia,Libas,3379.16,10
France,Idkū,2643.09,10
Serbia,Huangdu,1664.47,10
Poland,Gap,3082.47,10
China,Tres Arroyos,2156.93,10
Thailand,São Sepé,3118.91,10
Indonesia,Cadiz,2857.82,10
Madagascar,Asarum,3225.82,10
Japan,Araçatuba,2438.14,10
Colombia,San Antonio,2349.51,10
Egypt,Baraguá,2949.02,10
Spain,Pengfang,2069.11,10
China,Orleans,3037.12,10
Syria,Bollnäs,2371.38,10
Philippines,Atlasovo,1857.96,10
United Kingdom,Moorreesburg,2622.47,10
Bhutan,Viekšniai,2647.10,10
China,Sumpur Kudus,2926.31,10
Spain,Astromil,2719.04,10
Japan,Przybyszówka,2721.63,10
