country,revenue
Chad,18245.62
Russia,112474.75
Paraguay,15650.16
Senegal,13455.10
Sweden,67775.50
Philippines,153411.17
Malaysia,29114.88
Iraq,7751.67
Germany,12498.69
Afghanistan,16262.41
France,66444.57
Greece,23641.76
Kosovo,6357.68
Argentina,77650.72
Angola,2332.42
Albania,6978.55
Madagascar,1711.44
Finland,10112.03
Myanmar,1698.71
Nicaragua,9900.90
Sierra Leone,13814.49
Peru,36529.95
United States,45196.06
China,493813.87
Belarus,5007.38
Kuwait,4606.75
Palestinian Territory,17785.24
Tajikistan,5866.04
Croatia,16481.52
Bolivia,14165.81
Nigeria,11200.77
Lithuania,2154.29
Norway,21155.26
Spain,5368.61
Cuba,16115.25
Central African Republic,7187.44
Bangladesh,7578.84
Laos,9306.78
Thailand,25547.18
Morocco,21485.44
Monaco,4943.16
Panama,6595.80
Ukraine,49243.52
Venezuela,26110.00
Oman,6877.21
North Korea,7131.55
South Korea,11281.83
Mexico,2299.27
Georgia,4944.61
Indonesia,192469.54
Guatemala,11246.37
Mongolia,23610.45
Azerbaijan,9401.72
Tunisia,7210.27
Liberia,1779.96
Honduras,20495.99
Syria,19142.98
Saudi Arabia,7274.86
Uganda,23318.90
Ethiopia,4333.01
Jamaica,4877.43
Canada,60675.83
Uzbekistan,21177.71
Czech Republic,40326.75
Brazil,98555.94
Belize,5422.05
Japan,51165.08
New Zealand,12757.93
Poland,128257.12
Portugal,106397.37
Australia,10582.06
Bulgaria,21747.19
Kazakhstan,5446.55
Serbia,26786.43
South Africa,9544.28
Colombia,27210.76
Pakistan,10038.82
Vietnam,15336.12
